"","id","name","unit"
"412",736,"ground coriander","teaspoon of"
"55",739,"cumin powder","teaspoon of"
"102",739,"cumin powder","teaspoon of"
"129",739,"cumin powder","teaspoon of"
"282",739,"cumin powder","teaspoon of"
"383",739,"cumin powder","teaspoon of"
"21",740,"ground black pepper","pinch of"
"58",740,"ground black pepper","pinch of"
"75",740,"ground black pepper","teaspoon of"
"90",740,"ground black pepper","pinch of"
"131",740,"ground black pepper","teaspoon of"
"141",740,"ground black pepper","teaspoon of"
"148",740,"ground black pepper","teaspoon of"
"159",740,"ground black pepper","teaspoon of"
"173",740,"ground black pepper","pinch of"
"188",740,"ground black pepper","teaspoon of"
"197",740,"ground black pepper","teaspoon of"
"230",740,"ground black pepper","teaspoon of"
"238",740,"ground black pepper","teaspoon of"
"252",740,"ground black pepper","teaspoon of"
"264",740,"ground black pepper","teaspoon of"
"271",740,"ground black pepper","teaspoon of"
"283",740,"ground black pepper","teaspoon of"
"293",740,"ground black pepper","pinch of"
"301",740,"ground black pepper","teaspoon of"
"309",740,"ground black pepper","teaspoon of"
"319",740,"ground black pepper","teaspoon of"
"343",740,"ground black pepper","teaspoon of"
"354",740,"ground black pepper","teaspoon of"
"430",740,"ground black pepper","teaspoon of"
"189",741,"ground cardamom","teaspoon of"
"33",754,"red curry paste","tablespoon of"
"60",757,"tomato paste","tablespoon of"
"272",761,"mayonnaise","grams"
"14",765,"dijon mustard","tablespoon of"
"61",768,"white cooking wine","deciliter"
"280",771,"beer","milimeters"
"432",774,"soy sauce","milliliters"
"29",775,"fish sauce","teaspoon of"
"429",775,"fish sauce","tablespoon of"
"13",776,"balsamic vinegar","milliliters"
"155",776,"balsamic vinegar","milliliters"
"262",776,"balsamic vinegar","tablespoon of"
"117",777,"apple vinegar","tablespoon of"
"270",777,"apple vinegar","tablespoon of"
"42",778,"vegetable stock","liter"
"27",779,"chicken stock","milliliters"
"87",779,"chicken stock","milliliters"
"146",779,"chicken stock","milliliters"
"156",779,"chicken stock","milliliters"
"300",779,"chicken stock","milliliters"
"149",783,"lemon juice","tablespoon of"
"198",783,"lemon juice","tablespoon of"
"212",783,"lemon juice","tablespoon of"
"294",783,"lemon juice","tablespoon of"
"421",783,"lemon juice","milliliters"
"28",785,"coconut cream","milliliters"
"34",789,"white sugar","teaspoon of"
"115",789,"white sugar","tablespoon of"
"274",789,"white sugar","teaspoon of"
"433",789,"white sugar","grams"
"93",790,"honey","tablespoon of"
"169",790,"honey","tablespoon of"
"94",792,"pomegranate molasses","milliliters"
"5",794,"salt","teaspoon of"
"8",794,"salt","pinch of"
"22",794,"salt","pinch of"
"41",794,"salt","pinch of"
"49",794,"salt","pinch of"
"59",794,"salt","pinch of"
"67",794,"salt","pinch of"
"78",794,"salt","teaspoon of"
"95",794,"salt","teaspoon of"
"108",794,"salt","teaspoon of"
"114",794,"salt","teaspoon of"
"118",794,"salt","teaspoon of"
"132",794,"salt","teaspoon of"
"150",794,"salt","teaspoon of"
"160",794,"salt","teaspoon of"
"170",794,"salt","pinch of"
"174",794,"salt","teaspoon of"
"191",794,"salt","teaspoon of"
"199",794,"salt","teaspoon of"
"205",794,"salt","pinches of"
"213",794,"salt","pinch of"
"221",794,"salt","teaspoon of"
"231",794,"salt","teaspoon of"
"239",794,"salt","teaspoon of"
"243",794,"salt","teaspoon of"
"247",794,"salt","teaspoon of"
"253",794,"salt","teaspoon of"
"257",794,"salt","teaspoon of"
"265",794,"salt","teaspoon of"
"273",794,"salt","teaspoon of"
"285",794,"salt","teaspoon of"
"295",794,"salt","pinch of"
"310",794,"salt","teaspoon of"
"320",794,"salt","teaspoon of"
"330",794,"salt","teaspoon of"
"344",794,"salt","teaspoon of"
"355",794,"salt","teaspoon of"
"364",794,"salt","teaspoon of"
"376",794,"salt","teaspoon of"
"388",794,"salt","teaspoon of"
"399",794,"salt","teaspoon of"
"413",794,"salt","teaspoon of"
"422",794,"salt","pinch of"
"431",794,"salt","pinch of"
"225",799,"pearl onions","grams"
"1",800,"red onion","large"
"127",800,"red onion","small"
"171",800,"red onion",NA
"179",800,"red onion",NA
"250",800,"red onion",NA
"260",800,"red onion","small"
"268",800,"red onion","small"
"324",800,"red onions","grams"
"12",802,"feta","grams"
"182",802,"feta","grams"
"120",803,"green pepper",NA
"405",803,"green peppers","grams"
"416",803,"green pepper","large"
"122",804,"yellow pepper",NA
"334",804,"yellow peppers","grams"
"65",805,"red pepper",NA
"121",805,"red pepper",NA
"162",806,"salted butter","tablespoon of"
"53",807,"raisins","grams"
"112",807,"raisins","teaspoon of"
"235",807,"raisins","tablespoon of"
"219",811,"wheat flour","tablespoon of"
"351",811,"wheat flour","teaspoons of"
"32",843,"fresh lemongrass","stalk of"
"19",849,"precooked beetroot",NA
"64",853,"green olives","grams"
"138",855,"breadcrumbs","grams"
"183",855,"breadcrumbs","grams"
"99",859,"plain curd","grams"
"128",859,"plain curd","grams"
"369",859,"plain curd","grams"
"381",859,"plain curd","grams"
"82",860,"frozen peas","grams"
"201",860,"frozen peas","tablespoon of"
"48",864,"sushi grade flounder filets","grams"
"97",865,"walnut halves","grams"
"101",869,"chili powder","teaspoon of"
"281",869,"chili powder","teaspoon of"
"360",869,"chili powder","pinch of"
"371",869,"chili powder","teaspoon of"
"408",869,"chili powder","teaspoon of"
"289",873,"fresh green chili pepper",NA
"366",873,"fresh green chili pepper","small"
"125",877,"dark chocolate","grams"
"123",878,"condensed milk","grams"
"124",879,"chocolate sprinkles","grams"
"267",880,"fresh green beans","grams"
"402",880,"fresh green beans","grams"
"380",881,"ginger paste","teaspoon of"
"391",881,"ginger paste","teaspoon of"
"379",882,"garlic paste","teaspoon of"
"390",882,"garlic paste","teaspoon of"
"404",882,"garlic paste","teaspoon of"
"387",883,"paprika powder","teaspoon of"
"398",883,"paprika powder","teaspoon of"
"192",889,"tahini","grams"
"177",891,"ice cubes","grams"
"68",900,"white wine vinegar","teaspoon of"
"240",900,"white wine vinegar","tablespoons of"
"254",900,"white wine vinegar","tablespoon of"
"217",901,"cheese slice",NA
"406",919,"peas","grams"
"340",994,"penne","grams"
"316",999,"spaghetti","grams"
"326",999,"spaghetti","grams"
"350",999,"spaghetti","grams"
"317",1020,"basil","gram"
"327",1020,"basil","gram"
"341",1020,"basil","gram"
"352",1020,"basil","gram"
"305",1067,"bacon","slices of"
"299",1088,"milk","milliliters"
"298",1104,"onion","small"
"393",1104,"onion","large"
"407",1104,"onion",NA
"335",1136,"cherry tomatoes","grams"
"306",1140,"pork roast","kilogram"
"336",1144,"dried red peppers","grams"
"347",1144,"dried red peppers","grams"
"321",1145,"tomato sauce","grams"
"331",1145,"tomato sauce","grams"
"345",1145,"tomato sauce","grams"
"386",1146,"Kashmiri chili powder","teaspoon of"
"419",1149,"bulgur","grams"
